Test Time / s,Voltage / V,Current / A,Unix Time / s,Cycle Count / 1,Step Index / 1,Charging Capacity / Ah,Discharging Capacity / Ah,Protocol Name / 1,Step Type / 1,Maximum Cell Temperature / degC,External Temperature / degC,data_point,step_time
263740.0,3.22210490891091,-0.0605515800906498,263740.0,2,2,6.9382018853869e-06,0.0,A with temperature: 15,charge,15.062986015946,15,582,412.4999999998836
263800.00000000006,3.23152324095037,-0.0605515800906498,263800.0,2,2,7.947394886897699e-06,0.0,A with temperature: 15,charge,15.0677667642046,15,583,472.4999999999418
263860.0000000002,3.24082039327917,-0.0605515800906498,263860.0,2,2,8.9565878884086e-06,0.0,A with temperature: 15,charge,15.0737774383538,15,584,532.5000000000582
263919.99999999994,3.25002283792773,-0.0605515800906498,263920.0,2,2,9.965780889919402e-06,0.0,A with temperature: 15,charge,15.0807619959778,15,585,592.4999999998254
263980.00000000006,3.25914140763992,-0.0605515800906498,263980.0,2,2,1.09749738914303e-05,0.0,A with temperature: 15,charge,15.0886107898442,15,586,652.4999999999418
264039.9999999999,3.26819526614227,-0.0605515800906498,264040.0,2,2,1.1984166892941101e-05,0.0,A with temperature: 15,charge,15.097153692297,15,587,712.4999999997672
264099.99999999994,3.27720568016951,-0.0605515800906498,264100.0,2,2,1.29933598944519e-05,0.0,A with temperature: 15,charge,15.1062483387903,15,588,772.4999999998254
264160.00000000006,3.28618355882087,-0.0605515800906498,264160.0,2,2,1.40025528959628e-05,0.0,A with temperature: 15,charge,15.1157868711677,15,589,832.4999999999418
264219.9999999998,3.29513773492035,-0.0605515800906498,264220.0,2,2,1.50117458974736e-05,0.0,A with temperature: 15,charge,15.1256865610633,15,590,892.499999999709
264279.99999999994,3.29835073777371,-0.0605515800906498,264280.0,2,2,1.60209388989844e-05,0.0,A with temperature: 15,charge,15.13402309985,15,591,952.4999999998254
264340.0000000001,3.30039574387058,-0.0605515800906498,264340.0,2,2,1.70301319004953e-05,0.0,A with temperature: 15,charge,15.1403918898226,15,592,1012.5
264399.9999999998,3.3024679760765,-0.0605515800906498,264400.0,2,2,1.80393249020061e-05,0.0,A with temperature: 15,charge,15.1452864149565,15,593,1072.499999999709
264459.99999999994,3.30456414575235,-0.0605515800906498,264460.0,2,2,1.90485179035169e-05,0.0,A with temperature: 15,charge,15.149114954153,15,594,1132.4999999998254
264520.0000000001,3.30668273629388,-0.0605515800906498,264520.0,2,2,2.00577109050278e-05,0.0,A with temperature: 15,charge,15.1521793386759,15,595,1192.5
264579.9999999998,3.30882238214607,-0.0605515800906498,264580.0,2,2,2.10669039065386e-05,0.0,A with temperature: 15,charge,15.1547021870844,15,596,1252.499999999709
264640.0,3.31097982882071,-0.0605515800906498,264640.0,2,2,2.20760969080494e-05,0.0,A with temperature: 15,charge,15.1569102955162,15,597,1312.4999999998836
264700.00000000006,3.31314249555063,-0.0605515800906498,264700.0,2,2,2.3085289909560202e-05,0.0,A with temperature: 15,charge,15.1593388256208,15,598,1372.4999999999418
264760.0000000002,3.31532076826109,-0.0605515800906498,264760.0,2,2,2.40944829110711e-05,0.0,A with temperature: 15,charge,15.1620184141728,15,599,1432.5000000000582
264819.99999999994,3.31751568286253,-0.0605515800906498,264820.0,2,2,2.5103675912581903e-05,0.0,A with temperature: 15,charge,15.1649052800966,15,600,1492.4999999998254
264880.00000000006,3.31972018405061,-0.0605515800906498,264880.0,2,2,2.6112868914092703e-05,0.0,A with temperature: 15,charge,15.1681621533155,15,601,1552.4999999999418
264939.9999999999,3.32162883632822,-0.0605515800906498,264940.0,2,2,2.71220619156036e-05,0.0,A with temperature: 15,charge,15.1718607179423,15,602,1612.4999999997672
264999.99999999994,3.32310943603995,-0.0605515800906498,265000.0,2,2,2.81312549171144e-05,0.0,A with temperature: 15,charge,15.1759182119906,15,603,1672.4999999998254
265060.00000000006,3.32463297115051,-0.0605515800906498,265060.0,2,2,2.91404479186252e-05,0.0,A with temperature: 15,charge,15.1793446067396,15,604,1732.4999999999418
